Type	Depth	Parent
court decision	1	__nothing__
combinatorial algorithm	1	__nothing__
military operation	1	__nothing__
Norse religious concept	1	__nothing__
product testing	1	__nothing__
General anatomical term	1	__nothing__
physiological condition	1	__nothing__
surface-to-air missile	1	__nothing__
Q104053	1	__nothing__
biopolymer	1	__nothing__
substance	1	__nothing__
setting	1	__nothing__
voting	1	__nothing__
health care	1	__nothing__
hydraulic structure	1	__nothing__
airplane	1	__nothing__
job	1	__nothing__
coupé	1	__nothing__
lymphatic tissue	1	__nothing__
GLAM	1	__nothing__
railway halt	1	__nothing__
bomb	1	__nothing__
flying machine	1	__nothing__
employee	1	__nothing__
cause of cancer	1	__nothing__
birth	1	__nothing__
biological component	1	__nothing__
hydrohalide	1	__nothing__
natural geographic object	1	__nothing__
monospecific antibody	1	__nothing__
reflector	1	__nothing__
NASCAR Cup race	1	__nothing__
constant	1	__nothing__
free content	1	__nothing__
first-level NUTS of the European Union	1	__nothing__
location of burial	1	__nothing__
storm	1	__nothing__
domesticated mammal	1	__nothing__
benzodihydrofuran	1	__nothing__
interior	1	__nothing__
conservation	1	__nothing__
atrocity crime	1	__nothing__
economic integration	1	__nothing__
principle	1	__nothing__
political entity	1	__nothing__
flow of matter and energy	1	__nothing__
written news media	1	__nothing__
rock music	1	__nothing__
pyrrole	1	__nothing__
flag or coat of arms	1	__nothing__
metre	1	__nothing__
group of living things	1	__nothing__
cause	1	something
Indigenous peoples of the United States	1	__nothing__
oxyanion	1	__nothing__
visual arts technique	1	__nothing__
fictional monkey	1	__nothing__
research park	1	__nothing__
telecommunications service provider	1	__nothing__
risk	1	__nothing__
political position	1	__nothing__
communication	1	__nothing__
organism	1	__nothing__
concern	1	__nothing__
user interface	1	__nothing__
nuclear explosive	1	__nothing__
medical facility	1	__nothing__
emotional and behavioral disorders	1	__nothing__
show garden	1	__nothing__
hijacking	1	__nothing__
Rosa	1	__nothing__
observation	1	__nothing__
Segment of arterial tree organ	1	__nothing__
polycarboxylic acid	1	__nothing__
transport aircraft	1	__nothing__
organizational structure of cities in the People’s Republic of China	1	__nothing__
International Relations	1	__nothing__
videotelephony	1	__nothing__
qualification (degree)	1	__nothing__
source code editor	1	__nothing__
phase	1	__nothing__
local administrative unit in Thailand	1	__nothing__
salt	1	__nothing__
church congregation	1	__nothing__
natural resource wealth	1	__nothing__
primary raw material	1	__nothing__
fictional dog	1	__nothing__
line construction	1	__nothing__
point	1	__nothing__
biological region	1	__nothing__
Q336170	1	__nothing__
lost city	1	__nothing__
double star	1	__nothing__
gene product	1	__nothing__
physical substance	1	__nothing__
pen name	1	__nothing__
cohomology	1	__nothing__
cutlery	1	__nothing__
web-safe color	1	__nothing__
polytope	1	__nothing__
cannon	1	__nothing__
Fσ set	1	__nothing__
medium of exchange	1	__nothing__
physical object	1	__nothing__
N-substituted primary carboxamide	1	__nothing__
physical model	1	__nothing__
class or metaclass of Wikidata ontology	1	something
political coalition	1	__nothing__
fictional vehicle	1	__nothing__
antigen	1	__nothing__
communications protocol	1	__nothing__
aerodrome	1	__nothing__
tribe	1	__nothing__
network service	1	__nothing__
optical instrument	1	__nothing__
biographical dictionary	1	__nothing__
scientific terminology	1	__nothing__
marine ecosystem	1	__nothing__
exploration	1	__nothing__
abstract data type	1	__nothing__
Gδ set	1	__nothing__
measuring standard	1	__nothing__
Catholic liturgical object	1	__nothing__
trainset	1	__nothing__
military decoration	1	__nothing__
sports federation	1	__nothing__
type	1	__nothing__
beer	1	__nothing__
qualia	1	something
test	1	__nothing__
proposed entity	1	__nothing__
seat	1	__nothing__
border	1	__nothing__
commercial company	1	__nothing__
disease	1	__nothing__
language device	1	__nothing__
TED talk	1	__nothing__
landform	1	__nothing__
State territory	1	__nothing__
musical performance	1	__nothing__
two-sided market	1	__nothing__
corticosteroid	1	__nothing__
transport phenomena	1	__nothing__
tertiary amine	1	__nothing__
civil disobedience	1	__nothing__
human behaviour	1	__nothing__
LAU 1	1	__nothing__
risk source	1	__nothing__
physical examination	1	__nothing__
designation	1	__nothing__
county-equivalent	1	__nothing__
tea	1	__nothing__
open letter	1	__nothing__
dioxane	1	__nothing__
geographic direction	1	__nothing__
economic model	1	__nothing__
tertiary source	1	__nothing__
name	1	__nothing__
indicator	1	__nothing__
rhetorical device	1	__nothing__
Wikimedia internal item	1	__nothing__
fictional horse	1	__nothing__
administrative territorial entity of Wisconsin	1	__nothing__
chemical entity	1	__nothing__
plot	1	__nothing__
theft	1	__nothing__
planemo	1	__nothing__
reaction intermediate	1	__nothing__
fatty acyl	1	__nothing__
capital market	1	__nothing__
Ribosome-inactivating protein	1	__nothing__
rural district of Germany	1	__nothing__
water reservoir	1	__nothing__
lexical item	1	__nothing__
proposition	1	__nothing__
water spirit	1	__nothing__
letter	1	__nothing__
filmmaking	1	__nothing__
cresol	1	__nothing__
dot matrix	1	__nothing__
metabelian group	1	__nothing__
criterion	1	__nothing__
animal product	1	__nothing__
finite simple group	1	__nothing__
income class	1	__nothing__
estate in land	1	__nothing__
dissent	1	__nothing__
vocal group	1	__nothing__
curse	1	__nothing__
public service	1	__nothing__
passenger transport	1	__nothing__
permit	1	__nothing__
square-free integer	1	__nothing__
bounty	1	__nothing__
inlet	1	__nothing__
industrial region	1	__nothing__
lossy data conversion	1	__nothing__
Cell component	1	__nothing__
regional wind	1	__nothing__
cocktail	1	__nothing__
astronomical instrument	1	__nothing__
administrative territorial entity of New York (state)	1	__nothing__
architectural element	1	__nothing__
diminutive	1	__nothing__
magic spell in Harry Potter	1	__nothing__
dry bulk cargo	1	__nothing__
biological macromolecule	1	__nothing__
online service provider	1	__nothing__
element	1	__nothing__
professional school	1	__nothing__
high tide	1	__nothing__
science fiction	1	__nothing__
ecclesiastical title	1	__nothing__
item with given name property	1	something
vehicle	1	__nothing__
algebraic structure	1	__nothing__
power station	1	__nothing__
military service	1	__nothing__
avionics	1	__nothing__
proceedings	1	__nothing__
psychotropic drug	1	__nothing__
measurement tool	1	__nothing__
drinking establishment	1	__nothing__
ambassador to a country	1	__nothing__
sailboat	1	__nothing__
statutory city	1	__nothing__
duplicate entry	1	__nothing__
search algorithm	1	__nothing__
projection	1	__nothing__
fictional artiodactyla	1	__nothing__
edged and bladed weapon	1	__nothing__
information resource	1	__nothing__
former entity	1	something
payment system	1	__nothing__
online publication	1	__nothing__
grant	1	__nothing__
sterol lipids	1	__nothing__
denial	1	__nothing__
types of towns and cities in Russia	1	__nothing__
commutative Moufang loop	1	__nothing__
mode of toxic action	1	__nothing__
Q27055630	1	__nothing__
class of fictional entities	1	__nothing__
multicellular anatomical structure	1	__nothing__
horse race	1	__nothing__
national cycling team	1	__nothing__
motif	1	__nothing__
Volta–Congo languages	1	__nothing__
ghost town	1	__nothing__
former village	1	__nothing__
condiment	1	__nothing__
fictional activity	1	__nothing__
chemical element	1	__nothing__
poetics	1	__nothing__
racist insult	1	__nothing__
toponymic nickname	1	__nothing__
ethnonym	1	__nothing__
cuisine	1	__nothing__
duet	1	__nothing__
composition for piano	1	__nothing__
transport museum	1	__nothing__
workplace	1	__nothing__
German state agency	1	__nothing__
vegetarian restaurant	1	__nothing__
local museum	1	__nothing__
perspective	1	__nothing__
electrical connector	1	__nothing__
appellate court	1	__nothing__
mythological island	1	__nothing__
folk tale	1	__nothing__
fairy tale	1	__nothing__
demigod	1	__nothing__
cardinal number	1	__nothing__
transfinite number	1	__nothing__
food crisis	1	__nothing__
deficiency	1	__nothing__
American whiskey	1	__nothing__
cyclic process	1	__nothing__
vocational university	1	__nothing__
speech	1	__nothing__
media event	1	__nothing__
ambassador of a country	1	__nothing__
non-fiction literature	1	__nothing__
radionuclide	1	__nothing__
conclusion	1	__nothing__
glacial landform	1	__nothing__
poetry collection	1	__nothing__
Waka (Poetry)	1	__nothing__
travel	1	__nothing__
automotive design	1	__nothing__
non-homogeneous constant-recursive sequence	1	__nothing__
integer sequence	1	__nothing__
constant-recursive sequence	1	__nothing__
industrial process	1	__nothing__
sled dog race	1	__nothing__
conclusion	1	__nothing__
business group	1	__nothing__
fictional shapeshifter	1	__nothing__
tree	1	__nothing__
documentary film	1	__nothing__
marine unit	1	__nothing__
heat engine	1	__nothing__
decade	1	__nothing__
Form of Parvati	1	__nothing__
ratio scale of measurement	1	__nothing__
rolling stock	1	__nothing__
linguistic unit	1	__nothing__
round	1	__nothing__
transcendental function	1	__nothing__
elementary function	1	__nothing__
smooth function	1	__nothing__
industrial building	1	__nothing__
theism	1	__nothing__
machine-readable dictionary	1	__nothing__
dictionary of a specific language	1	__nothing__
magic object	1	__nothing__
basilisk in a work of fiction	1	__nothing__
magical object in Harry Potter	1	__nothing__
county of Norway	1	__nothing__
former county	1	__nothing__
gift	1	__nothing__
amt	1	__nothing__
fictional activity	1	__nothing__
steambath	1	__nothing__
public bath	1	__nothing__
sociality	1	__nothing__
CJK character	1	__nothing__
Chinese character	1	__nothing__
logogram	1	__nothing__
hieroglyph	1	__nothing__
military cemetery	1	__nothing__
cuisine	1	__nothing__
constitutional amendment	1	__nothing__
sports discipline	1	__nothing__
sociality	1	__nothing__
biological selection	1	__nothing__
power of 10	1	__nothing__
real number	1	__nothing__
number with finite decimal representations	1	__nothing__
Gaussian integer	1	__nothing__
cubic function	1	__nothing__
cube	1	__nothing__
p-adic integer	1	__nothing__
administrative territorial entity of Latvia	1	__nothing__
ratio scale of measurement	1	__nothing__
artistic technique	1	__nothing__
central government	1	__nothing__
day of a calendar	1	__nothing__
perception	1	__nothing__
unpleasantness	1	__nothing__
disposition	1	__nothing__
comic group	1	__nothing__
administrative territorial entity of North Dakota	1	__nothing__
historical period	1	__nothing__
warship	1	__nothing__
artillery gun	1	__nothing__
constitution	1	__nothing__
basic law	1	__nothing__
programming style	1	__nothing__
public law	1	__nothing__
multiset	1	__nothing__
formalization	1	__nothing__
plant structure	1	__nothing__
Territory of the United States	1	__nothing__
habit	1	__nothing__
industrial process	1	__nothing__
folk festival	1	__nothing__
tourism office	1	__nothing__
innovation	1	__nothing__
ward of Japan	1	__nothing__
special local public entity	1	__nothing__
settlement	1	__nothing__
first-order metaclass	1	__nothing__
Anglican church	1	__nothing__
protestant cathedral	1	__nothing__
shape	1	__nothing__
Metafile	1	__nothing__
Microsoft Windows component	1	__nothing__
information services	1	__nothing__
machine gun	1	__nothing__
multiple barrel firearm	1	__nothing__
tactical formation	1	__nothing__
command hierarchy	1	__nothing__
administrative territorial entity of California	1	__nothing__
ionic compound	1	__nothing__
halide	1	__nothing__
Wikimedia duplicated page	1	__nothing__
ironic award	1	__nothing__
highway system	1	__nothing__
megaproject	1	__nothing__
civil law	1	__nothing__
private law	1	__nothing__
direction	1	__nothing__
ward of Japan	1	__nothing__
special local public entity	1	__nothing__
carboxylate anion	1	__nothing__
Form of Parvati	1	__nothing__
range	1	__nothing__
preference	1	__nothing__
chirality	1	__nothing__
language regulator	1	__nothing__
inland island	1	__nothing__
algorithm	1	__nothing__
population	1	__nothing__
hypothetical entity	1	__nothing__
muhafazah	1	__nothing__
administrative territorial entity of Egypt	1	__nothing__
thermodynamic process	1	__nothing__
UwU Moment	1	__nothing__
transformation	1	__nothing__
classification system	1	__nothing__
workplace	1	__nothing__
train	1	__nothing__
transport line	1	__nothing__
toponym	1	__nothing__
advocacy group	1	__nothing__
moveable bridge	1	__nothing__
linguistic unit	1	__nothing__
inland sea	1	__nothing__
theme park	1	__nothing__
political movement	1	__nothing__
legendary figure	1	__nothing__
pattern of behaviour	1	__nothing__
geographical marker	1	__nothing__
main line	1	__nothing__
battle	1	__nothing__
farm	1	__nothing__
farming business	1	__nothing__
binary function	1	__nothing__
ternary function	1	__nothing__
type of mathematical function	1	__nothing__
historical period	1	__nothing__
state decoration	1	__nothing__
Local Assembly in Japan	1	__nothing__
musical theatre character	1	__nothing__
agricultural complexes	1	__nothing__
tanker ship	1	__nothing__
area	1	__nothing__
storage power station	1	__nothing__
public holidays in the United States	1	__nothing__
federal holiday	1	__nothing__
sexual violence	1	__nothing__
Catholic university	1	__nothing__
round	1	__nothing__
procedure	1	__nothing__
federal holiday	1	__nothing__
public holidays in the United States	1	__nothing__
Q12013292	1	__nothing__
administrative territorial entity of a defunct state	1	__nothing__
aviation accident	1	__nothing__
collision	1	__nothing__
exhibition	1	__nothing__
demon	1	__nothing__
supernatural beings in Slavic folklore	1	__nothing__
boundary	1	__nothing__
theater	1	__nothing__
spatial arrangement	1	__nothing__
shape	1	__nothing__
multicellular anatomical structure	1	__nothing__
pattern of behaviour	1	__nothing__
power of 10	1	__nothing__
mythical human-animal hybrid	1	__nothing__
condiment	1	__nothing__
hypnotics and sedatives	1	__nothing__
aromatic plant	1	__nothing__
visit	1	__nothing__
advertising	1	__nothing__
Lagrangian point	1	__nothing__
airship	1	__nothing__
non-science	1	__nothing__
faith	1	__nothing__
folk festival	1	__nothing__
ethnic riot	1	__nothing__
communal violence	1	__nothing__
religious violence	1	__nothing__
first-order election	1	__nothing__
Elections in Spain	1	__nothing__
use	1	__nothing__
fictional pig	1	__nothing__
roof	1	__nothing__
review	1	__nothing__
literary criticism	1	__nothing__
power of 10	1	__nothing__
number with finite decimal representations	1	__nothing__
cubic function	1	__nothing__
cube	1	__nothing__
Gaussian integer	1	__nothing__
p-adic integer	1	__nothing__
non-positive integer	1	__nothing__
real number	1	__nothing__
negative real number	1	__nothing__
vice	1	__nothing__
sin	1	__nothing__
area	1	__nothing__
animal disease	1	__nothing__
form factor	1	__nothing__
electronic machine	1	__nothing__
information technology	1	__nothing__
memorial	1	__nothing__
National Park System unit	1	__nothing__
industrial building	1	__nothing__
chemical element	1	__nothing__
orchestra	1	__nothing__
community project	1	__nothing__
peer production system	1	__nothing__
content	1	__nothing__
Internet encyclopedia	1	__nothing__
open content	1	__nothing__
administrative territorial entity of California	1	__nothing__
shape	1	__nothing__
organism form	1	__nothing__
phase of life	1	__nothing__
demigod	1	__nothing__
elections in the autonomous communities of Spain	1	__nothing__
elections in Catalonia	1	__nothing__
number with infinite decimal representation	1	__nothing__
magnitude	1	__nothing__
multivalued function	1	__nothing__
nth root	1	__nothing__
real number	1	__nothing__
polynomial root	1	__nothing__
complex number	1	__nothing__
cipher	1	__nothing__
metro station	1	__nothing__
memorial	1	__nothing__
Q15744491	1	__nothing__
myth of origins	1	__nothing__
writing	1	__nothing__
competitive examination	1	__nothing__
prime number	1	__nothing__
Fibonacci number	1	__nothing__
settlement	1	__nothing__
interface standard	1	__nothing__
girl group	1	__nothing__
electoral district of Canada	1	__nothing__
fictional planet	1	__nothing__
fictional mode of transport	1	__nothing__
fictional object	1	__nothing__
oil tanker	1	__nothing__
tanker ship	1	__nothing__
toponym	1	__nothing__
distance	1	__nothing__
programming style	1	__nothing__
marine unit	1	__nothing__
shape	1	__nothing__
free and open-source software	1	__nothing__
patriotic song	1	__nothing__
secular hymn	1	__nothing__
asteroid classification	1	__nothing__
historic county of the United Kingdom	1	__nothing__
debate	1	__nothing__
type of business entity	1	__nothing__
international border	1	__nothing__
political border	1	__nothing__
delimitation	1	__nothing__
precept	1	__nothing__
policy	1	__nothing__
nobility of Spain	1	__nothing__
family name from a specific origin	1	__nothing__
transport line	1	__nothing__
volcanic phenomenon	1	__nothing__
precept	1	__nothing__
delimitation	1	__nothing__
chess	1	__nothing__
game variant	1	__nothing__
n-tuple	1	__nothing__
unordered pair	1	__nothing__
manifold	1	__nothing__
paracompact space	1	__nothing__
immersion	1	__nothing__
countably compact space	1	__nothing__
σ-compact space	1	__nothing__
conclusion	1	__nothing__
locally compact space	1	__nothing__
subset	1	__nothing__
home computer	1	__nothing__
orientation	1	__nothing__
value	1	__nothing__
Kompanie	1	__nothing__
Kompanie	1	__nothing__
long gun	1	__nothing__
girl group	1	__nothing__
sixth-level administrative country subdivision	1	__nothing__
administrative quarter	1	__nothing__
violation of law	1	__nothing__
statutory law	1	__nothing__
boundary	1	__nothing__
theater	1	__nothing__
bomb attack	1	__nothing__
in-flight explosion	1	__nothing__
suicide attack	1	__nothing__
precept	1	__nothing__
delimitation	1	__nothing__
strategy game	1	__nothing__
abstract game	1	__nothing__
regulation of the European Union	1	__nothing__
Segment of venous tree organ	1	__nothing__
blood vessel	1	__nothing__
vein	1	__nothing__
binary function	1	__nothing__
linguistics	1	__nothing__
ratio scale of measurement	1	__nothing__
laboratory procedure	1	__nothing__
moveable bridge	1	__nothing__
type of mathematical function	1	__nothing__
